mse,nmse,avg_pixel_value,precision,recall,accuracy,f1,csi,far,hss,confusion_matrix,threshold_used,frame
177702.59375,276781.6381372891,0.642031729221344,0.18943879108042977,1.0,0.18944049703663793,0.3185347451269057,0.18943879108042977,0.8105612089195702,4.91886307368952e-07,"{'tp': np.int64(90009), 'fp': np.int64(385126), 'tn': np.int64(1), 'fn': np.int64(0)}",0.5,1
359269.75,563843.6035664015,0.6371797919273376,0.19099098719765217,0.9990529155883486,0.19105687634698276,0.3206774173023492,0.19095641338140976,0.8090090128023478,-0.00015169762992365762,"{'tp': np.int64(90719), 'fp': np.int64(384272), 'tn': np.int64(59), 'fn': np.int64(86)}",0.5,2
216248.28125,345239.62166080123,0.6263715624809265,0.19033335648747465,0.9995578302731504,0.1903497103987069,0.31977578951090996,0.19031733236234444,0.8096666435125254,-7.478947504695286e-05,"{'tp': np.int64(90423), 'fp': np.int64(384654), 'tn': np.int64(19), 'fn': np.int64(40)}",0.5,3
119161.3125,193952.04939541663,0.6143854260444641,0.18411623249238948,0.8906232739002673,0.22725072400323276,0.305149667961764,0.180045200566347,0.8158837675076105,-0.007753322916157921,"{'tp': np.int64(80621), 'fp': np.int64(357260), 'tn': np.int64(27354), 'fn': np.int64(9901)}",0.5,4
197422.515625,325856.1335614582,0.6058579087257385,0.1896257071659483,1.0,0.1896257071659483,0.31879893990807345,0.1896257071659483,0.8103742928340517,0.0,"{'tp': np.int64(90098), 'fp': np.int64(385038), 'tn': np.int64(0), 'fn': np.int64(0)}",0.5,5
141661.484375,233820.47846377807,0.6058557629585266,0.1872600686961207,1.0,0.1872600686961207,0.3154491145343993,0.1872600686961207,0.8127399313038793,0.0,"{'tp': np.int64(88974), 'fp': np.int64(386162), 'tn': np.int64(0), 'fn': np.int64(0)}",0.5,6
